match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
17,Sunrisers Hyderabad,Nithish Kumar Reddy,7,0,0,0,8
17,Sunrisers Hyderabad,Harsh Dubey,8,0,0,0,9
17,Sunrisers Hyderabad,Shivang Kumar,,0,0,0,10
17,Sunrisers Hyderabad,HV Patel,,0,0,0,11
17,Sunrisers Hyderabad,E Malinga,,0,0,1,12
17,Punjab Kings,YS Chahal,,0,0,0,1
17,Punjab Kings,Priyansh Arya,1,0,0,0,2
17,Punjab Kings,P Simran Singh,2,0,1,0,3
17,Punjab Kings,C Connolly,3,0,0,0,4
17,Punjab Kings,SS Iyer,4,1,0,0,5
17,Punjab Kings,N Wadhera,5,0,0,0,6
17,Punjab Kings,Shashank Singh,6,0,0,0,7
17,Punjab Kings,MP Stoinis,,0,0,0,8
17,Punjab Kings,M Jansen,,0,0,0,9
17,Punjab Kings,XC Bartlett,,0,0,0,10
17,Punjab Kings,Vijaykumar Vyshak,,0,0,0,11
17,Punjab Kings,Arshdeep Singh,,0,0,1,12
18,Chennai Super Kings,AJ Hosein,,0,0,0,1
18,Chennai Super Kings,SV Samson,1,0,1,0,2
18,Chennai Super Kings,RD Gaikwad,2,1,0,0,3
18,Chennai Super Kings,A Mhatre,3,0,0,0,4
18,Chennai Super Kings,S Dube,4,0,0,0,5
18,Chennai Super Kings,SN Khan,,0,0,0,6
18,Chennai Super Kings,D Brevis,,0,0,0,7
18,Chennai Super Kings,J Overton,,0,0,0,8
18,Chennai Super Kings,Noor Ahmad,,0,0,0,9
18,Chennai Super Kings,A Kamboj,,0,0,0,10
18,Chennai Super Kings,Gurjapneet Singh,,0,0,0,11
18,Chennai Super Kings,KK Ahmed,,0,0,1,12
18,Delhi Capitals,Mukesh Kumar,,0,0,0,1
18,Delhi Capitals,P Nissanka,1,0,0,0,2
18,Delhi Capitals,KL Rahul,2,1,1,0,3
18,Delhi Capitals,Sameer Rizvi,3,0,0,0,4
18,Delhi Capitals,AR Patel,4,1,0,0,5
18,Delhi Capitals,DA Miller,5,0,0,0,6
18,Delhi Capitals,T Stubbs,6,0,0,0,7
18,Delhi Capitals,Ashutosh Sharma,7,0,0,0,8
18,Delhi Capitals,Auqib Nabi,8,0,0,0,9
18,Delhi Capitals,Kuldeep Yadav,9,0,0,0,10
18,Delhi Capitals,L Ngidi,10,0,0,0,11
18,Delhi Capitals,T Natarajan,11,0,0,1,12
19,Lucknow Super Giants,AK Markram,1,0,0,0,1
19,Lucknow Super Giants,MR Marsh,2,0,0,0,2
19,Lucknow Super Giants,RR Pant,3,0,0,0,3
19,Lucknow Super Giants,A Badoni,4,0,0,0,4
19,Lucknow Super Giants,N Pooran,5,0,0,0,5
19,Lucknow Super Giants,Abdul Samad,6,0,0,0,6
19,Lucknow Super Giants,MD Choudhary,7,0,0,0,7
19,Lucknow Super Giants,GF Linde,8,0,0,0,8
19,Lucknow Super Giants,Mohammed Shami,9,0,0,0,9
19,Lucknow Super Giants,Avesh Khan,10,0,0,0,10
19,Lucknow Super Giants,DS Rathi,,0,0,0,11
19,Lucknow Super Giants,Prince Yadav,,0,0,1,12
19,Gujarat Titans,Mohammed Siraj,,0,0,0,1
